"dummy","n1"
"n1_1","-0.148706868290901"
"n1_2","0.0874374359846115"
"n1_3","0.0457748807966709"
"n1_4","-0.92042738199234"
"n1_5","0.122441507875919"
"n1_6","-0.128538563847542"
"n1_7","-0.363547086715698"
"n1_8","-0.363781213760376"
"n1_9","-0.305681586265564"
"n1_10","-0.320866018533707"
"n1_11","-0.579412519931793"
"n1_12","-0.297875314950943"
"n1_13","0.350992500782013"
"n1_14","-0.383719742298126"
"n1_15","-0.654793381690979"
"n1_16","-0.0511423945426941"
"n1_17","-0.00545039214193821"
"n1_18","-0.236166924238205"
"n1_19","0.109228670597076"
"n1_20","-0.135961577296257"
"n1_21","-0.100913509726524"
"n1_22","-0.0140553154051304"
"n1_23","0.195615455508232"
"n1_24","0.0872200727462769"
"n1_25","-0.0792892575263977"
"n1_26","-1.03305041790009"
"n1_27","-0.448013961315155"
"n1_28","-0.761423945426941"
"n1_29","-0.733184695243835"
"n1_30","-0.80493026971817"
"n1_31","-0.718903720378876"
"n1_32","0.161173447966576"
"n1_33","-1.18924045562744"
"n1_34","-0.619964241981506"
"n1_35","-0.536993324756622"
"n1_36","-0.362661451101303"
"n1_37","-0.720714807510376"
"n1_38","-0.103689402341843"
"n1_39","0.0584144070744514"
"n1_40","-0.0527943149209023"
"n1_41","0.231386616826057"
"n1_42","-0.0998582318425179"
"n1_43","-0.202694475650787"
"n1_44","-0.475218445062637"
"n1_45","-0.173612803220749"
"n1_46","-0.186396107077599"
"n1_47","-0.0908746123313904"
"n1_48","0.260901302099228"
"n1_49","0.260914623737335"
"n1_50","-0.0245109815150499"
"n1_51","-0.392937421798706"
"n1_52","-0.249155327677727"
"n1_53","-1.21921265125275"
"n1_54","0.0858549699187279"
"n1_55","0.0259360875934362"
"n1_56","0.208771094679832"
"n1_57","0.198669791221619"
"n1_58","-0.251259952783585"
"n1_59","-0.644029319286346"
"n1_60","-0.176396280527115"
"n1_61","0.0635244473814964"
"n1_62","0.11566898226738"
"n1_63","-0.518924057483673"
"n1_64","-0.179829195141792"
"n1_65","-0.56069952249527"
"n1_66","-0.049284178763628"
"n1_67","0.0751899182796478"
"n1_68","-0.323088139295578"
"n1_69","0.0318583473563194"
"n1_70","-0.0218567252159119"
"n1_71","-1.0088974237442"
"n1_72","0.268216878175735"
"n1_73","-0.368548780679703"
"n1_74","-0.239874228835106"
"n1_75","-0.400778740644455"
"n1_76","-0.410684376955032"
"n1_77","-0.578266263008118"
"n1_78","0.120879255235195"
"n1_79","-0.693813681602478"
"n1_80","-0.503803312778473"
"n1_81","-0.14151369035244"
"n1_82","-0.553914308547974"
"n1_83","-0.652148306369781"
"n1_84","0.141581907868385"
"n1_85","-0.230746120214462"
"n1_86","-0.240132346749306"
"n1_87","-0.0717319846153259"
"n1_88","-0.0189347099512815"
"n1_89","-0.126819506287575"
"n1_90","-0.114116840064526"
"n1_91","-0.0883764326572418"
"n1_92","0.0721439868211746"
"n1_93","-0.988081455230713"
"n1_94","-0.111968778073788"
"n1_95","0.190962582826614"
"n1_96","0.183404877781868"
"n1_97","-0.989252984523773"
"n1_98","-0.294395834207535"
"n1_99","-0.564352512359619"
"n1_100","-0.186226978898048"
"n1_101","-0.655630171298981"
"n1_102","-0.192078396677971"
"n1_103","-1.1102602481842"
"n1_104","-0.382364004850388"
"n1_105","-0.25345766544342"
"n1_106","-0.947075128555298"
"n1_107","-0.206181228160858"
"n1_108","-0.0306535698473454"
"n1_109","-0.0827118679881096"
"n1_110","-0.232885584235191"
"n1_111","-1.1833428144455"
"n1_112","-0.579917371273041"
"n1_113","-0.0471753552556038"
"n1_114","-0.0460303835570812"
"n1_115","-0.564499318599701"
"n1_116","-0.501626431941986"
"n1_117","-1.04720234870911"
"n1_118","-0.136153280735016"
"n1_119","-0.595934867858887"
"n1_120","-0.472541213035583"
"n1_121","-0.105146959424019"
"n1_122","0.330367982387543"
"n1_123","0.037720575928688"
"n1_124","-0.180344894528389"
"n1_125","-0.302004843950272"
"n1_126","-1.32986354827881"
"n1_127","-0.461283624172211"
"n1_128","-0.240314304828644"
"n1_129","-0.0147970579564571"
"n1_130","-0.206183061003685"
"n1_131","-0.092229887843132"
"n1_132","-0.960583031177521"
"n1_133","-0.287487059831619"
"n1_134","0.270305097103119"
"n1_135","-0.171677991747856"
"n1_136","0.0957085490226746"
"n1_137","-0.118566326797009"
