"dummy","n3_1","n3_2","n3_3","n3_4","n3_5","n3_6","n3_7","n3_8","n3_9","n3_10","n3_11","n3_12","n3_13","n3_14","n3_15","n3_16","n3_17","n3_18","n3_19","n3_20","n3_21","n3_22","n3_23","n3_24","n3_25","n3_26","n3_27","n3_28","n3_29","n3_30","n3_31","n3_32","n3_33","n3_34","n3_35","n3_36","n3_37","n3_38","n3_39","n3_40","n3_41","n3_42","n3_43","n3_44","n3_45","n3_46","n3_47","n3_48","n3_49","n3_50","n3_51","n3_52","n3_53","n3_54","n3_55","n3_56","n3_57","n3_58","n3_59","n3_60","n3_61","n3_62","n3_63","n3_64","n3_65","n3_66","n3_67","n3_68","n3_69","n3_70","n3_71","n3_72","n3_73","n3_74","n3_75","n3_76","n3_77","n3_78","n3_79","n3_80","n3_81","n3_82","n3_83","n3_84","n3_85","n3_86","n3_87","n3_88","n3_89","n3_90","n3_91","n3_92","n3_93","n3_94","n3_95","n3_96","n3_97","n3_98","n3_99","n3_100"
"n2_1","-0.322619199752808","0.44126483798027","0.31248077750206","0.345868080854416","0.402187407016754","0.427807807922363","0.968023538589478","0.305922746658325","2.39635062217712","0.516953408718109","-0.528650343418121","0.22790889441967","0.368220835924149","0.494940191507339","-0.451210141181946","0.508748352527618","0.599532544612885","-0.403120756149292","-0.358449220657349","0.441835224628448","0.502076983451843","0.527657330036163","0.344210237264633","0.302960693836212","0.438677072525024","0.550957798957825","0.23371958732605","0.461002796888351","0.322825044393539","0.635599553585052","0.340521067380905","0.424697726964951","0.267134130001068","0.492601931095123","0.284190088510513","-0.0509406439960003","0.303309708833694","0.470694601535797","-0.449035584926605","0.565331518650055","0.322807639837265","0.544096827507019","0.457249015569687","0.262668132781982","0.423732429742813","-0.427754163742065","0.405755817890167","0.449254095554352","0.657461404800415","0.131603240966797","0.282261312007904","0.508886456489563","-0.479999125003815","0.42524653673172","0.408445984125137","0.384345859289169","-0.239060655236244","0.558411359786987","0.558020949363708","-0.742540836334229","0.515390574932098","0.388779759407043","-0.405764281749725","-0.31806281208992","-0.235835134983063","0.524521589279175","0.324079155921936","0.352825194597244","0.511145532131195","0.679363191127777","0.384569555521011","-0.507325649261475","0.247763365507126","-0.920708060264587","0.511014103889465","0.373674064874649","0.503804624080658","-0.302784353494644","0.594443202018738","0.270338445901871","-0.347401767969131","-0.343631774187088","0.466849446296692","0.453208357095718","-0.296245634555817","0.300682872533798","0.339451611042023","0.432528913021088","-0.360449761152267","-0.401823759078979","0.0215869452804327","0.459553062915802","0.474548041820526","0.442558974027634","0.704773366451263","-0.205123603343964","0.461245864629745","0.132638782262802","0.411525219678879","0.588881552219391"
"n2_2","-0.0558913424611092","-0.170221209526062","-0.0877546593546867","-0.0278667956590652","-0.134283661842346","0.0349609777331352","-0.0772000402212143","-0.0801609456539154","-0.0306934285908937","-0.0435659065842628","-0.0506834164261818","-0.139622688293457","-0.0666424557566643","0.0669744685292244","0.114119969308376","0.0172003787010908","-0.0561717227101326","-0.0511330515146255","0.16314409673214","-0.0454713366925716","0.0313038378953934","-0.089900054037571","0.0583852790296078","0.027618857100606","0.177312657237053","0.0455965623259544","0.113849066197872","-0.0882317647337914","-0.0392927788197994","0.0703350007534027","-0.16565565764904","-0.107612758874893","-0.0637021288275719","0.000597658043261617","-0.0417898818850517","0.0604139715433121","0.0451437570154667","0.103522144258022","-0.0335699543356895","0.0626924932003021","-0.14110903441906","-0.166534274816513","0.000875991187058389","0.00453756842762232","-0.00452617462724447","0.0781178772449493","0.0898832976818085","0.0344713144004345","0.0375908017158508","-0.00369406305253506","-0.00420971913263202","-0.0116796595975757","0.0225238110870123","-0.0114487875252962","-0.0651444792747498","-0.00475419778376818","0.151760444045067","0.0560081452131271","-0.163784086704254","0.0766845569014549","-0.0320090092718601","-0.0799110159277916","0.129546344280243","-0.0466990917921066","0.0795025825500488","-0.0698024332523346","-0.0627571269869804","-0.172083556652069","-0.106450520455837","-0.0704159066081047","-0.135158717632294","-0.0119426678866148","-0.143255412578583","0.0636705607175827","-0.129765465855598","0.110651299357414","0.0868569239974022","-0.010289803147316","-0.0624135322868824","-0.141090363264084","-0.0811307802796364","0.0160085055977106","-0.0583297051489353","-0.148710086941719","0.0607711598277092","-0.17742070555687","-0.0913658365607262","0.00250930967740715","9.60569304879755e-05","-0.0878816694021225","-0.102603435516357","-0.13394783437252","-0.0563266910612583","0.114327326416969","0.0733364149928093","0.0409056730568409","-0.0181150287389755","-0.135032370686531","0.0973529741168022","-0.0841804444789886"
"n2_3","0.651820540428162","-1.28235065937042","-0.905998945236206","-0.6865114569664","-0.567389130592346","-0.265439599752426","-1.63443970680237","-0.548899590969086","1.52928853034973","-1.0503990650177","1.16002631187439","-0.673146367073059","-0.801060378551483","-1.59815835952759","0.836322665214539","-0.792192339897156","-0.635059952735901","0.626465499401093","0.410177260637283","-0.779302597045898","-0.826881051063538","-0.616187334060669","-0.878633558750153","-1.11687922477722","0.0898250117897987","-0.616928696632385","0.0240794457495213","-0.556007146835327","-0.594343245029449","-1.11733102798462","-0.452698439359665","-1.49108266830444","-0.792041897773743","-0.687899112701416","-0.331899911165237","-2.29942965507507","-2.48375368118286","-1.23647916316986","0.372414082288742","-1.15802407264709","-0.930041372776031","-0.590499043464661","-0.627695739269257","-0.589363157749176","-0.559911608695984","0.364860892295837","-0.527158260345459","-0.452212184667587","-1.0672070980072","-0.484682857990265","-0.650929689407349","-1.12324368953705","1.18340921401978","-0.162789463996887","-0.963400542736053","-0.478335708379745","0.811803221702576","-0.953209519386292","-0.182376861572266","-0.564960122108459","-0.441397458314896","-0.647076785564423","0.291548132896423","0.699181497097015","0.463896244764328","-0.42401334643364","-1.19191014766693","-0.475088626146317","-0.462234824895859","-0.261323511600494","-0.455398261547089","0.57469916343689","-0.332456886768341","-1.07438802719116","-0.350055068731308","-1.71378648281097","-0.871000409126282","0.706285297870636","-0.17988783121109","-1.15375471115112","0.750341951847076","0.951797425746918","-0.525744438171387","-0.644729316234589","0.9557985663414","-0.969040334224701","-0.36212956905365","-1.42015933990479","0.717096865177155","0.370790183544159","-1.63861477375031","-0.564530372619629","-1.44564139842987","-0.685202419757843","-1.36409437656403","0.642507672309875","-2.18085622787476","-1.24327945709229","-0.978137493133545","-0.496162086725235"
"n2_4","-0.251564174890518","0.383770048618317","0.191443294286728","0.342052102088928","0.0498754009604454","0.104443281888962","0.209282860159874","0.066403403878212","0.177894726395607","0.0379567295312881","-0.0810962617397308","0.15034756064415","0.0729412287473679","0.357853889465332","-0.0745986178517342","0.289145588874817","-0.038651030510664","-0.0962501540780067","-0.130676254630089","0.100575767457485","0.0851564258337021","0.0369695350527763","0.189939647912979","0.0216568820178509","0.108530662953854","0.0275356713682413","-0.0662788897752762","0.077818788588047","0.0978424698114395","0.348955303430557","0.0184937547892332","0.317540615797043","0.0703840181231499","0.214302584528923","0.0166694987565279","0.300315946340561","0.156713396310806","0.113664992153645","-0.0156032713130116","0.121276758611202","0.26358762383461","0.0896863713860512","0.223601907491684","0.000369331974070519","0.165876403450966","-0.0507419370114803","0.211741700768471","0.0168433152139187","0.212632358074188","0.449407994747162","0.0520017221570015","0.402799189090729","-0.224797740578651","-0.0774236470460892","0.0632288753986359","0.107120133936405","-0.047290988266468","0.155921041965485","0.169858664274216","-0.0989236086606979","0.0254819840192795","0.263071477413177","-0.200358405709267","-0.0952959358692169","-0.229379445314407","0.0407940708100796","0.277396410703659","0.190356284379959","0.180919140577316","0.152932837605476","0.146197602152824","-0.00647612102329731","0.260394871234894","0.179639518260956","-0.0523307360708714","0.306825459003448","0.239525094628334","-0.133759006857872","0.210338473320007","0.141391426324844","-0.164267525076866","-0.105829484760761","0.212533563375473","0.211158856749535","-0.282063394784927","0.122004300355911","0.124465204775333","0.0829555615782738","-0.228178456425667","-0.236296430230141","0.0633236691355705","0.265801787376404","0.176936417818069","0.079645611345768","0.0309305060654879","-0.174427762627602","0.215598836541176","0.1076650172472","0.202409133315086","0.218201890587807"
"n2_5","0.454437732696533","-0.29643514752388","-0.667412757873535","-0.318734556436539","-0.604718565940857","-0.340487837791443","-0.988142549991608","-0.489673286676407","-2.34989523887634","-0.652769684791565","0.615475833415985","-0.611740410327911","-0.360100716352463","-0.548004269599915","0.56747579574585","-0.695618689060211","-0.354270696640015","0.400057911872864","0.541399598121643","-0.274204879999161","-0.460424840450287","-0.73442667722702","-0.818828284740448","-0.454212069511414","-0.323786020278931","-0.488055855035782","-1.7575706243515","-0.61951619386673","-0.27598512172699","-0.309665501117706","-0.586254000663757","-0.428572714328766","-0.256512701511383","-0.501461207866669","-0.410020232200623","-0.683639585971832","-1.05761229991913","-0.387486457824707","0.415215313434601","-0.529737293720245","-0.231415197253227","-0.346978634595871","-0.5223149061203","-0.453812450170517","-0.538760840892792","0.30216971039772","-0.450724244117737","-0.54093724489212","-0.375084489583969","0.0742875933647156","-0.656549036502838","-0.295564860105515","0.529115438461304","-0.203559443354607","-0.714769840240479","-0.59553325176239","0.600767970085144","-0.739258050918579","-0.270319223403931","0.325168788433075","-0.205730766057968","-0.602214753627777","0.360234916210175","0.418577045202255","0.446350306272507","-0.39755967259407","-0.62449985742569","-0.449436157941818","-0.520555198192596","-0.435895532369614","-0.0587960779666901","0.554746747016907","-0.20853690803051","0.176408976316452","-0.412941932678223","-0.603522598743439","-0.724384427070618","0.58140766620636","-0.267700672149658","-0.485301375389099","0.425627440214157","0.445448815822601","-0.5915447473526","-0.340093731880188","0.487854450941086","-0.613306105136871","-0.637540221214294","-0.398362219333649","0.505355060100555","0.376095235347748","-0.507895112037659","-0.671122193336487","-0.96605384349823","-0.701064825057983","-0.408233731985092","0.455998778343201","-1.00342607498169","-0.425836384296417","-0.46139657497406","-0.535703718662262"
"n2_6","0.151614189147949","0.0205676797777414","-0.342627257108688","-0.0954890921711922","-0.212531313300133","-0.421364843845367","-2.33888149261475","-0.1429193764925","-0.962740004062653","-0.155810087919235","0.185488611459732","-0.16686737537384","-0.154108658432961","-0.12978284060955","0.40399444103241","-0.25966402888298","-0.0294778309762478","0.128798171877861","0.116418220102787","0.00502723222598433","-0.132546633481979","-0.299825102090836","-0.33109849691391","-0.144296407699585","-0.329652100801468","-0.239008530974388","-2.99323201179504","-0.304317831993103","0.0337906517088413","-0.119749985635281","-0.0300581753253937","-0.10983744263649","0.0370775312185287","-0.131595104932785","-0.180088639259338","-0.155680432915688","-0.398152261972427","-0.483198493719101","0.205972790718079","-0.177809923887253","-0.100323751568794","-0.0192416738718748","-0.205179437994957","-0.182437613606453","-0.196198329329491","0.225051671266556","-0.386785387992859","-0.174453929066658","-0.298807948827744","0.18487049639225","-0.482697755098343","-0.186973333358765","0.0771225020289421","-0.0682878568768501","-0.0879836529493332","-0.0305199045687914","0.31862199306488","-0.197749301791191","-0.0494357980787754","0.125171914696693","-0.168450236320496","-0.186619028449059","0.0560880452394485","0.133205309510231","0.119959957897663","-0.0719288364052773","-0.492968171834946","-0.0981878489255905","-0.0436214804649353","-0.207179039716721","0.20042496919632","0.344716906547546","-0.0886524617671967","-0.112231574952602","-0.0787187442183495","-0.123921982944012","-0.450730115175247","0.254675984382629","-0.169495806097984","0.0995623618364334","0.363233149051666","0.307341992855072","-0.190882325172424","-0.210833787918091","0.166054591536522","-0.423117727041245","-0.110434293746948","-0.16612496972084","0.146957024931908","0.21165344119072","-0.186179026961327","-0.297910630702972","-0.297895282506943","-0.329800486564636","-0.126020282506943","0.307502716779709","-0.28680008649826","0.224763438105583","-0.0243774205446243","-0.22492441534996"
"n2_7","-0.0206253919750452","-0.0146521870046854","-0.0211769994348288","0.153074309229851","-0.0397316664457321","-0.194272726774216","-0.048327911645174","0.101183973252773","-0.0462157800793648","0.132862567901611","-0.228520423173904","-0.101689927279949","-0.0672982707619667","0.148137524724007","-0.114672258496284","-0.0356435328722","-0.172522753477097","0.0390982367098331","0.134033009409904","-0.0578839853405952","0.0165294967591763","-0.119691826403141","-0.0531438589096069","-0.127148419618607","-0.0536667704582214","-0.037478506565094","-0.152605786919594","-0.0427093096077442","0.00953098200261593","0.049760490655899","-0.141786202788353","-0.0868174582719803","0.0608450174331665","0.0462514311075211","-0.042620811611414","-0.0532666519284248","-0.144399762153625","0.0760314092040062","0.133555680513382","0.142517998814583","-0.0602692812681198","0.055753979831934","-0.046177227050066","-0.0949514284729958","-0.0176376458257437","0.0432556085288525","0.0713998153805733","-0.0117787718772888","1.22388928502914e-05","0.000650202215183526","-0.180726155638695","-0.0929092690348625","0.0158626884222031","0.0881528109312057","-0.162727490067482","-0.161205619573593","0.0798020213842392","0.0158691834658384","0.0563616342842579","-0.0370134264230728","-0.0197486616671085","-0.0741614028811455","-0.0383764766156673","-0.134981766343117","0.120886743068695","0.0920381769537926","-0.108690701425076","0.0660014078021049","0.0966862440109253","0.0636489242315292","-0.052170816808939","0.0121822664514184","0.0981768593192101","-0.260767668485641","0.0833807811141014","-0.0420450195670128","-0.15551745891571","0.00188762950710952","0.0806443020701408","0.104482084512711","0.162437707185745","0.0278329830616713","-0.0285812597721815","-0.202795222401619","0.0229449197649956","-0.088194765150547","0.021498640999198","-0.0590015091001987","-0.0350307710468769","0.0884118154644966","-0.0135074853897095","-0.0390364900231361","0.183097347617149","0.0375936813652515","0.152591615915298","-0.0973270460963249","0.106148071587086","-0.0131623055785894","-0.00322827138006687","-0.105368673801422"
"n2_8","0.0807871520519257","-0.149264067411423","-0.0332430452108383","-0.247978791594505","-0.220767080783844","-0.328078895807266","0.301104605197906","-0.345667153596878","-0.120513468980789","0.0251175574958324","0.0103667266666889","-0.182382062077522","-0.188707247376442","-0.366737514734268","-0.0348878987133503","-0.0311294756829739","-0.258194506168365","0.0991539061069489","0.206991374492645","-0.282204806804657","0.0413486696779728","-0.175703927874565","-0.141723185777664","-0.033446554094553","-0.494230031967163","-0.201981276273727","0.981456458568573","-0.0357385128736496","-0.205934450030327","-0.189076408743858","-0.157301038503647","-0.247654527425766","-0.136550709605217","-0.145501121878624","-0.187209740281105","-0.0272305123507977","0.33915576338768","0.16742242872715","0.300417751073837","-0.435201048851013","-0.427958786487579","-0.201113432645798","-0.158602386713028","-0.0224758591502905","-0.236412912607193","0.234407290816307","-0.293355137109756","-0.252189517021179","-0.0665739253163338","-1.2385790348053","-0.169045701622963","-0.115998737514019","-0.0413261279463768","-0.251020908355713","0.0707149654626846","-0.197789013385773","0.115091733634472","-0.191079512238503","-0.198960199952126","-0.0834278613328934","-0.318643182516098","-0.29581019282341","0.163636475801468","0.0620376542210579","0.177162542939186","-0.226302102208138","0.0737475454807281","-0.0818807631731033","-0.183405593037605","-0.23743100464344","-0.459435939788818","0.175434499979019","-0.255040943622589","0.614659070968628","-0.235316932201385","-0.336026638746262","-0.00734899332746863","0.0231590699404478","-0.297397792339325","-0.063834510743618","0.0819368734955788","-0.063999280333519","-0.158318772912025","-0.313760012388229","-0.0517211407423019","-0.154921442270279","-0.0932978540658951","-0.382607311010361","0.11576022952795","0.221899524331093","-0.351928800344467","-0.27259561419487","-0.0476871877908707","-0.213185146450996","-0.270176947116852","0.00392116792500019","0.148775860667229","-0.173426151275635","-0.253023684024811","-0.248164251446724"
"n2_9","0.120428860187531","0.00984885916113853","-0.0519934669137001","-0.101147092878819","-0.0521101541817188","-0.117227651178837","0.143108904361725","0.0195042211562395","-0.126293316483498","0.0397049784660339","-0.0726212188601494","-0.115979738533497","0.0649844110012054","0.0736576989293098","-0.0732943639159203","-0.142817974090576","-0.130655437707901","-0.100190840661526","0.0702857822179794","-0.0660289004445076","0.0928095281124115","-0.133958056569099","0.0582000948488712","0.0413471311330795","0.146876752376556","0.0676663741469383","0.214123651385307","0.0287095252424479","-0.159675866365433","-0.0414147973060608","0.0236946549266577","-0.000303070177324116","-0.113021843135357","-0.101866997778416","0.024045692756772","-0.0185638405382633","0.110312305390835","0.114698953926563","-0.109921008348465","0.00399707490578294","-0.0418870560824871","-0.148847565054893","-0.140717074275017","0.0701540410518646","-0.113585509359837","0.158615902066231","0.0627806037664413","-0.068706676363945","-0.0367199219763279","-0.0510343164205551","0.104706577956676","-0.0386897996068001","0.026765301823616","0.0274579208344221","-0.0514077357947826","-0.139262929558754","0.102539047598839","-0.0807687565684319","-0.157902479171753","-0.0342034623026848","0.0861132219433784","-0.112568862736225","-0.0950881019234657","0.0638752430677414","0.181341007351875","-0.0181212034076452","0.00558963138610125","-0.131599590182304","0.0476801618933678","-0.124635547399521","-0.130083531141281","-0.0619674250483513","0.00720931170508265","-0.116557769477367","-0.0206482522189617","0.0369831062853336","-0.0322718285024166","0.126989006996155","-0.103346951305866","0.0978438407182693","0.0423764698207378","0.0909227207303047","0.0296549722552299","-0.0883075371384621","-0.0625027716159821","0.0611248128116131","-0.0567128695547581","0.0883703902363777","0.109182015061378","0.0983909592032433","-0.0752618983387947","-0.0283292196691036","-0.0363172069191933","0.108843289315701","0.0960021764039993","-0.066516749560833","-0.075410820543766","-0.0406759306788445","0.0244975909590721","0.0016280859708786"
"n2_10","0.41053107380867","-0.22223262488842","-0.499587863683701","-0.411341428756714","-0.60052615404129","-0.868457317352295","0.250307023525238","-0.409439265727997","0.648703813552856","0.101098164916039","0.0264577697962523","-0.636322319507599","-0.557031869888306","0.41861966252327","0.52853924036026","-0.47705927491188","-0.394098609685898","0.342087090015411","0.605452060699463","-0.374077618122101","-0.442309558391571","-0.634248614311218","-0.571082532405853","0.058043971657753","-1.54692208766937","-0.491911262273788","0.724361181259155","-0.514935076236725","-0.351628988981247","-0.216433241963387","-0.592045068740845","0.266783356666565","-0.389075934886932","-0.625951170921326","-0.52304995059967","0.125614926218987","0.241489678621292","-0.573791265487671","0.903331518173218","0.462659150362015","-0.405562788248062","-0.352465987205505","-0.592251658439636","-0.48784601688385","-0.562151372432709","0.647412657737732","-0.65086030960083","-0.833644449710846","0.159123986959457","1.07367122173309","-0.57220196723938","-0.326593697071075","0.260238707065582","-0.759061574935913","-0.331956267356873","-0.419793903827667","0.226300090551376","-0.331071466207504","-0.80382764339447","-0.603676438331604","-0.765908122062683","-0.526857614517212","0.685602486133575","0.296030044555664","0.607827663421631","-0.830626249313354","-0.299801021814346","-0.417330145835876","-0.598319709300995","-0.931133091449738","-0.243799328804016","0.62803316116333","-0.500771105289459","-1.12838661670685","-0.575001060962677","0.198412671685219","-0.357852607965469","0.270802408456802","-1.35260725021362","-0.0173912364989519","0.474825382232666","0.298703759908676","-0.710370600223541","-0.560663998126984","0.236636638641357","0.111830547451973","-0.434893369674683","0.381672888994217","0.406385809183121","0.595148503780365","0.297876328229904","-0.591774940490723","0.383583396673203","-0.494664072990417","0.23282465338707","0.209537729620934","0.0863425433635712","-0.189996540546417","-0.367723256349564","-0.869533121585846"
