"dummy","n4_1","n4_2","n4_3","n4_4","n4_5","n4_6","n4_7","n4_8","n4_9","n4_10","n4_11","n4_12","n4_13","n4_14","n4_15","n4_16","n4_17","n4_18","n4_19","n4_20","n4_21","n4_22","n4_23","n4_24","n4_25","n4_26","n4_27","n4_28","n4_29","n4_30","n4_31","n4_32","n4_33","n4_34","n4_35"
"n3_1","-0.530114948749542","0.47992479801178","-0.530221879482269","-0.402333229780197","0.569690346717834","0.317769825458527","-0.461242496967316","-0.339642494916916","0.248707190155983","-0.515599608421326","0.295098721981049","-0.45304611325264","0.28206929564476","0.229013502597809","-0.366014331579208","0.375619918107986","-0.360397160053253","-0.531341850757599","-0.526881694793701","-0.534958481788635","0.464248061180115","0.472466439008713","-0.550570368766785","-0.345561146736145","0.298111766576767","0.401619911193848","-0.356066673994064","0.291805028915405","0.147630587220192","-0.467181265354156","0.495560139417648","-0.529324233531952","0.47978538274765","0.220281779766083","0.0836112946271896"
"n3_2","0.241638094186783","-0.10119603574276","0.271695345640182","0.302392482757568","-0.262193471193314","-0.261935651302338","0.300871193408966","0.732616364955902","-0.357350468635559","-0.00236479076556861","-0.0189812704920769","-0.049026221036911","-0.266793638467789","-0.168856680393219","0.148828223347664","-0.104022622108459","0.0929562970995903","-0.100500635802746","0.359993010759354","0.18002051115036","-0.26225870847702","-0.1612209379673","0.181500598788261","0.431714773178101","-0.177645906805992","-0.308930724859238","-0.107000656425953","0.173264920711517","-0.3176529109478","0.377555698156357","-0.0518160685896873","0.209496259689331","-0.0785364434123039","-0.273707121610641","-0.242831885814667"
"n3_3","0.606395900249481","-0.74073451757431","0.443817377090454","0.652183473110199","-0.441362261772156","-0.324715793132782","0.358672142028809","0.462680459022522","-0.617706298828125","0.768328726291656","-0.474759936332703","0.561679422855377","-0.427320122718811","-0.427400767803192","0.504412293434143","-0.625139355659485","0.678463518619537","0.115428082644939","0.426660358905792","0.952892303466797","-0.605026423931122","-0.360976696014404","0.489959746599197","0.284043937921524","-0.344466716051102","-0.500496864318848","0.525153338909149","-0.821535229682922","-0.420741379261017","0.539395213127136","-0.40637931227684","0.497356861829758","-0.650932848453522","-0.385046362876892","-0.43533843755722"
"n3_4","0.336011856794357","-0.100179634988308","0.392604291439056","0.411278247833252","-0.308140188455582","-0.0422614030539989","0.112347587943077","0.876059472560883","-0.206702902913094","0.0563841909170151","-0.0496757552027702","-0.108575202524662","-0.0598289892077446","-0.392377972602844","0.175286710262299","-0.412242591381073","0.066214956343174","0.401851058006287","0.174501910805702","0.0194693971425295","-0.117862991988659","-0.262432277202606","0.309870660305023","0.270722657442093","-0.161692067980766","-0.120537497103214","-0.0315092019736767","0.28710812330246","-0.0478119403123856","0.279478341341019","-0.408198714256287","0.329570323228836","-0.201341211795807","-0.149345323443413","-0.375767081975937"
"n3_5","0.256669193506241","-0.42184042930603","0.0423732735216618","0.318891197443008","-0.523177981376648","-0.362757861614227","0.560579597949982","0.283063948154449","-0.323724240064621","0.122675828635693","-0.463250696659088","0.592695295810699","-0.401671797037125","-0.626871824264526","0.310297906398773","-0.482929110527039","0.561188578605652","0.24970343708992","0.137394040822983","0.329933226108551","-0.3493412733078","-0.175094023346901","0.603243887424469","0.185114279389381","-0.263250201940536","-0.193532645702362","0.361716210842133","-0.323735415935516","-0.502782642841339","0.0470074564218521","-0.585030674934387","0.331586122512817","-0.245936438441277","-0.194813683629036","-0.134487345814705"
"n3_6","0.246258825063705","-0.345714867115021","-0.330238878726959","-0.555478036403656","-0.319302797317505","-0.292010813951492","0.375790268182755","-0.0184027813374996","-0.12965889275074","0.147734791040421","-0.400747537612915","0.626288533210754","0.170328795909882","-0.455403327941895","0.181411296129227","-0.397655755281448","0.72457492351532","0.196031734347343","-0.24272820353508","0.570707976818085","-0.264747947454453","-0.138181790709496","0.067677915096283","-0.185732826590538","-0.16503232717514","-0.127825975418091","0.516507387161255","-0.313525944948196","-0.297667592763901","-0.331468611955643","-0.409062027931213","0.25346839427948","-0.356893420219421","-0.398247867822647","-0.0488277040421963"
"n3_7","0.318060398101807","0.0196556001901627","0.137781277298927","0.289462924003601","-0.0797917172312737","-0.45149239897728","0.266442060470581","-0.0332523472607136","-0.298327326774597","0.725828528404236","-0.305032730102539","-0.368614822626114","-0.257709920406342","-0.225636050105095","0.165719702839851","-0.123130835592747","-2.39983892440796","-1.74830675125122","0.389925420284271","1.10190212726593","-0.168201118707657","-0.167250886559486","0.00165189441759139","0.105419881641865","-0.359678953886032","-0.320483446121216","0.0523628145456314","-1.26418268680573","-0.363236367702484","0.140974059700966","-0.228335008025169","0.244156256318092","-0.191698357462883","-0.494426995515823","-0.130606979131699"
"n3_8","0.430882662534714","-0.317770689725876","0.282798439264297","0.259702980518341","-0.331185311079025","-0.463883548974991","0.479564130306244","0.498134851455688","-0.322033494710922","0.186861664056778","-0.542441546916962","0.196263879537582","-0.480919748544693","-0.485149502754211","0.227260679006577","-0.189686104655266","0.405745059251785","0.520163238048553","0.394788861274719","0.296454876661301","-0.267005413770676","-0.309695661067963","0.355067163705826","0.404924392700195","-0.246449843049049","-0.253916710615158","0.096640519797802","-0.314299672842026","-0.25931242108345","0.492377907037735","-0.357302725315094","0.37971043586731","-0.483629792928696","-0.0974411144852638","-0.194896817207336"
"n3_9","1.25360977649689","-0.178198099136353","0.232135221362114","0.0727433711290359","-1.04812204837799","-1.362025141716","0.854242861270905","0.30576479434967","-1.03439283370972","-0.185225412249565","-0.636272490024567","-2.23307037353516","-0.90362948179245","-0.784762382507324","1.70553541183472","-0.874296367168427","-2.84452438354492","-2.72424125671387","-1.35693085193634","-1.01280570030212","-0.429776906967163","-0.772077202796936","0.936817646026611","0.363837391138077","-0.39764004945755","-0.453299760818481","-2.39117312431335","-0.384413629770279","-0.739576280117035","-0.13675756752491","-0.892288386821747","1.46517598628998","-1.45717203617096","-1.27072298526764","-0.504928469657898"
"n3_10","0.378589421510696","-0.0257174968719482","0.387164056301117","0.332222521305084","-0.183124855160713","-0.401806235313416","0.395957857370377","0.00694660795852542","-0.055930782109499","0.160060316324234","-0.350829362869263","-0.199127614498138","-0.229128167033195","-0.238804921507835","0.391284883022308","-0.398794382810593","-0.504030287265778","-0.653676509857178","-0.163446739315987","0.144212648272514","-0.063845694065094","-0.0664069801568985","0.269813686609268","0.400042086839676","-0.124572649598122","-0.256935626268387","-0.170064777135849","-0.282495349645615","-0.220320731401443","0.0451140031218529","-0.11646169424057","0.404072672128677","-0.435037553310394","-0.232403337955475","-0.370822101831436"
