"dummy","n5_1"
"n4_1","8.05124282836914"
"n4_2","-0.463136076927185"
"n4_3","8.41723918914795"
"n4_4","8.36960411071777"
"n4_5","-0.640902161598206"
"n4_6","-0.553155958652496"
"n4_7","8.22993278503418"
"n4_8","8.44689178466797"
"n4_9","-0.544992864131927"
"n4_10","9.06552124023438"
"n4_11","-0.242155402898788"
"n4_12","10.0230340957642"
"n4_13","-0.595459043979645"
"n4_14","-0.715115368366241"
"n4_15","8.12709426879883"
"n4_16","-0.348158001899719"
"n4_17","10.0025281906128"
"n4_18","9.89179992675781"
"n4_19","8.83481407165527"
"n4_20","9.68630218505859"
"n4_21","-0.335942596197128"
"n4_22","-0.394377648830414"
"n4_23","8.30804347991943"
"n4_24","8.36783313751221"
"n4_25","-0.360793858766556"
"n4_26","-0.397788733243942"
"n4_27","9.7879810333252"
"n4_28","-0.544768214225769"
"n4_29","-0.638080716133118"
"n4_30","8.3967924118042"
"n4_31","-0.33231857419014"
"n4_32","8.33745861053467"
"n4_33","-0.771653473377228"
"n4_34","-0.672854125499725"
"n4_35","-0.466395348310471"
